id,tag,text
1,"[1, 'label']",44
2,"[2, 's1', 'heading']",The Final Test
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']","He instructed the servant who was over his household, “Fill the sacks of the men with as much food as they can carry and put each man’s money in the mouth of his sack."
5,"['v001_NET_GEN_044', 5, 'p1', 'verse', 'v1', 'plain_text']","1 He instructed the servant who was over his household, “Fill the sacks of the men with as much food as they can carry and put each man’s money in the mouth of his sack."
6,"[6, 'p1', 'verse', 'v2', 'label']",2
7,"[7, 'p1', 'verse', 'v2', 'content']",Then put
8,"[8, 'p1', 'verse', 'v2', 'note', 'f']",tn The imperfect verbal form is used here to express Joseph’s instructions.
9,"[9, 'p1', 'verse', 'v2', 'content']","my cup – the silver cup – in the mouth of the youngest one’s sack, along with the money for his grain.” He did as Joseph instructed."
10,"[10, 'p1', 'verse', 'v2', 'note', 'f']",tn Heb “and he did according to the word of Joseph which he spoke.”
11,"['v002_NET_GEN_044', 11, 'p1', 'verse', 'v2', 'plain_text']","2 Then put my cup – the silver cup – in the mouth of the youngest one’s sack, along with the money for his grain.” He did as Joseph instructed."
12,"[12, 'p2', 'verse', 'v3', 'label']",3
13,"[13, 'p2', 'verse', 'v3', 'content']","When morning came,"
14,"[14, 'p2', 'verse', 'v3', 'note', 'f']",tn Heb “the morning was light.”
15,"[15, 'p2', 'verse', 'v3', 'content']",the men and their donkeys were sent off.
16,"[16, 'p2', 'verse', 'v3', 'note', 'f']","tn Heb “and the men were sent off, they and their donkeys.” This clause, like the preceding one, has the subject before the verb, indicating synchronic action."
17,"['v003_NET_GEN_044', 17, 'p2', 'verse', 'v3', 'plain_text']","3 When morning came, the men and their donkeys were sent off."
18,"[18, 'p2', 'verse', 'v4', 'label']",4
19,"[19, 'p2', 'verse', 'v4', 'content']",They had not gone very far from the city
20,"[20, 'p2', 'verse', 'v4', 'note', 'f']","tn Heb “they left the city, they were not far,” meaning “they had not gone very far.”"
21,"[21, 'p2', 'verse', 'v4', 'content']",when Joseph said
22,"[22, 'p2', 'verse', 'v4', 'note', 'f']","tn Heb “and Joseph said.” This clause, like the first one in the verse, has the subject before the verb, indicating synchronic action."
23,"[23, 'p2', 'verse', 'v4', 'content']","to the servant who was over his household, “Pursue the men at once!"
24,"[24, 'p2', 'verse', 'v4', 'note', 'f']","tn Heb “arise, chase after the men.” The first imperative gives the command a sense of urgency."
25,"[25, 'p2', 'verse', 'v4', 'content']",When you overtake
26,"[26, 'p2', 'verse', 'v4', 'note', 'f']","tn After the imperative this perfect verbal form with vav consecutive has the same nuance of instruction. In the translation it is subordinated to the verbal form that follows (also a perfect with vav consecutive): “and overtake them and say,” becomes “when you overtake them, say.”"
27,"[27, 'p2', 'verse', 'v4', 'content']","them, say to them, ‘Why have you repaid good with evil?"
