id,tag,text
1,"[1, 'label']",44
2,"[2, 's1', 'heading']",Joseph Tests His Brothers
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",Then he commanded
5,"[5, 'p1', 'verse', 'v1', 'note', 'x']",#ver.4;See ch.43:16
6,"[6, 'p1', 'verse', 'v1', 'content']","the steward of his house,"
7,"[7, 'p1', 'verse', 'v1', 'note', 'x']",#ch.42:25
8,"[8, 'p1', 'verse', 'v1', 'content']","“Fill the men’s sacks with food, as much as they can carry, and put each man’s money in the mouth of his sack,"
9,"['v001_ESV_GEN_044', 9, 'p1', 'verse', 'v1', 'plain_text']","1 Then he commanded the steward of his house, “Fill the men’s sacks with food, as much as they can carry, and put each man’s money in the mouth of his sack,"
10,"[10, 'p1', 'verse', 'v2', 'label']",2
11,"[11, 'p1', 'verse', 'v2', 'content']","and put my cup, the silver cup, in the mouth of the sack of the youngest, with his money for the grain.” And he did as Joseph told him."
12,"['v002_ESV_GEN_044', 12, 'p1', 'verse', 'v2', 'plain_text']","2 and put my cup, the silver cup, in the mouth of the sack of the youngest, with his money for the grain.” And he did as Joseph told him."
13,"[13, 'p2', 'verse', 'v3', 'label']",3
14,"[14, 'p2', 'verse', 'v3', 'content']","As soon as the morning was light, the men were sent away with their donkeys."
15,"['v003_ESV_GEN_044', 15, 'p2', 'verse', 'v3', 'plain_text']","3 As soon as the morning was light, the men were sent away with their donkeys."
16,"[16, 'p2', 'verse', 'v4', 'label']",4
17,"[17, 'p2', 'verse', 'v4', 'content']",They had gone only a short distance from the city. Now Joseph said to his
18,"[18, 'p2', 'verse', 'v4', 'note', 'x']",#ver.1
19,"[19, 'p2', 'verse', 'v4', 'content']","steward, “Up, follow after the men, and when you overtake them, say to them, ‘Why have you repaid evil for good?"
20,"[20, 'p2', 'verse', 'v4', 'note', 'f']",#44:4Septuagint (compare Vulgate) addsWhy have you stolen my silver cup?
21,"['v004_ESV_GEN_044', 21, 'p2', 'verse', 'v4', 'plain_text']","4 They had gone only a short distance from the city. Now Joseph said to his steward, “Up, follow after the men, and when you overtake them, say to them, ‘Why have you repaid evil for good?"
22,"[22, 'p2', 'verse', 'v5', 'label']",5
23,"[23, 'p2', 'verse', 'v5', 'content']","Is it not from this that my lord drinks, and"
24,"[24, 'p2', 'verse', 'v5', 'note', 'x']",#ver.15;ch.30:27;[2 Kgs. 21:6;2 Chr. 33:6]
25,"[25, 'p2', 'verse', 'v5', 'content']",by this that he practices divination? You have done evil in doing this.’”
26,"['v005_ESV_GEN_044', 26, 'p2', 'verse', 'v5', 'plain_text']","5 Is it not from this that my lord drinks, and by this that he practices divination? You have done evil in doing this.’”"
27,"[27, 'p3', 'verse', 'v6', 'label']",6
28,"[28, 'p3', 'verse', 'v6', 'content']","When he overtook them, he spoke to them these words."
29,"['v006_ESV_GEN_044', 29, 'p3', 'verse', 'v6', 'plain_text']","6 When he overtook them, he spoke to them these words."
30,"[30, 'p3', 'verse', 'v7', 'label']",7
