id,tag,text
1,"[1, 'label']",39
2,"[2, 's1', 'heading']",យ៉ូសែបនៅផ្ទះប៉ូទីផារ
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",យ៉ូសែប​ត្រូវគេ​នាំចុះ​ទៅ​អេហ្ស៊ីប ហើយ​ជនជាតិអេហ្ស៊ីប​ម្នាក់​ឈ្មោះ​ប៉ូទីផារ​ជា​មន្ត្រី​របស់​ផារ៉ោន និងជា​មេបញ្ជាការ​កងរក្សាអង្គ បាន​ទិញ​គាត់​ពី​ដៃ​របស់​ពួក​ជនជាតិអ៊ីសម៉ាអែល​ដែល​បាន​នាំ​គាត់​ចុះ​មក​ទីនោះ​។
5,"['v001_GKH_GEN_039', 5, 'p1', 'verse', 'v1', 'plain_text']",1 យ៉ូសែប​ត្រូវគេ​នាំចុះ​ទៅ​អេហ្ស៊ីប ហើយ​ជនជាតិអេហ្ស៊ីប​ម្នាក់​ឈ្មោះ​ប៉ូទីផារ​ជា​មន្ត្រី​របស់​ផារ៉ោន និងជា​មេបញ្ជាការ​កងរក្សាអង្គ បាន​ទិញ​គាត់​ពី​ដៃ​របស់​ពួក​ជនជាតិអ៊ីសម៉ាអែល​ដែល​បាន​នាំ​គាត់​ចុះ​មក​ទីនោះ​។
6,"[6, 'p1', 'verse', 'v2', 'label']",2
7,"[7, 'p1', 'verse', 'v2', 'content']",ព្រះយេហូវ៉ា​គង់នៅ​ជាមួយ​យ៉ូសែប ហើយ​គាត់​បានជា​មនុស្ស​ជោគជ័យ​។ គាត់​នៅ​ក្នុង​ផ្ទះ​របស់​ម្ចាស់​គាត់​ដែលជា​ជនជាតិអេហ្ស៊ីប​។
8,"['v002_GKH_GEN_039', 8, 'p1', 'verse', 'v2', 'plain_text']",2 ព្រះយេហូវ៉ា​គង់នៅ​ជាមួយ​យ៉ូសែប ហើយ​គាត់​បានជា​មនុស្ស​ជោគជ័យ​។ គាត់​នៅ​ក្នុង​ផ្ទះ​របស់​ម្ចាស់​គាត់​ដែលជា​ជនជាតិអេហ្ស៊ីប​។
9,"[9, 'p1', 'verse', 'v3', 'label']",3
10,"[10, 'p1', 'verse', 'v3', 'content']",ម្ចាស់​របស់គាត់​ឃើញ​ថា​ព្រះយេហូវ៉ា​គង់នៅ​ជាមួយ​គាត់ ហើយ​ឃើញថា​ព្រះយេហូវ៉ា​ប្រទានឲ្យ​អ្វីៗ​ទាំងអស់​ដែល​គាត់​ធ្វើ បាន​ជោគជ័យ​ក្នុង​ដៃ​របស់គាត់
11,"['v003_GKH_GEN_039', 11, 'p1', 'verse', 'v3', 'plain_text']",3 ម្ចាស់​របស់គាត់​ឃើញ​ថា​ព្រះយេហូវ៉ា​គង់នៅ​ជាមួយ​គាត់ ហើយ​ឃើញថា​ព្រះយេហូវ៉ា​ប្រទានឲ្យ​អ្វីៗ​ទាំងអស់​ដែល​គាត់​ធ្វើ បាន​ជោគជ័យ​ក្នុង​ដៃ​របស់គាត់
12,"[12, 'p1', 'verse', 'v4', 'label']",4
