['label']	12
['s', 'heading']	Herodes persegue a Tiago e a Pedro
['p1', 'content']	 
['p1', 'verse', 'v1', 'label']	1
['p1', 'verse', 'v1', 'content']	Por aquele tempo, mandou o rei Herodes prender alguns da igreja para os maltratar,
['p1', 'verse', 'v2', 'label']	2
['p1', 'verse', 'v2', 'content']	fazendo passar a fio de espada a Tiago, irmão de João.
['p1', 'verse', 'v3', 'label']	3
['p1', 'verse', 'v3', 'content']	Vendo ser isto agradável aos judeus, prosseguiu, prendendo também a Pedro. E eram os dias dos pães asmos.
['p1', 'verse', 'v4', 'label']	4
['p1', 'verse', 'v4', 'content']	Tendo-o feito prender, lançou-o no cárcere, entregando-o a quatro escoltas de quatro soldados cada uma, para o guardarem, tencionando apresentá-lo ao povo depois da Páscoa.
['p1', 'verse', 'v5', 'label']	5
['p1', 'verse', 'v5', 'content']	Pedro, pois, estava guardado no cárcere; mas havia oração incessante a Deus por parte da igreja a favor dele.
['p2', 'verse', 'v5', 'content']	
['p2', 'verse', 'v6', 'label']	6
['p2', 'verse', 'v6', 'content']	Quando Herodes estava para apresentá-lo, naquela mesma noite, Pedro dormia entre dois soldados, acorrentado com duas cadeias, e sentinelas à porta guardavam o cárcere.
['p2', 'verse', 'v7', 'label']	7
['p2', 'verse', 'v7', 'content']	Eis, porém, que sobreveio um anjo do Senhor, e uma luz iluminou a prisão; e, tocando ele o lado de Pedro, o despertou, dizendo: Levanta-te depressa! Então, as cadeias caíram-lhe das mãos.
['p2', 'verse', 'v8', 'label']	8
['p2', 'verse', 'v8', 'content']	Disse-lhe o anjo: Cinge-te e calça as sandálias. E ele assim o fez. Disse-lhe mais: Põe a capa e segue-me.
['s', 'heading']	Pedro é livre da prisão
['p3', 'verse', 'v8', 'content']	
['p3', 'verse', 'v9', 'label']	9
['p3', 'verse', 'v9', 'content']	Então, saindo, o seguia, não sabendo que era real o que se fazia por meio do anjo; parecia-lhe, antes, uma visão.
['p3', 'verse', 'v10', 'label']	10
['p3', 'verse', 'v10', 'content']	Depois de terem passado a primeira e a segunda sentinela, chegaram ao portão de ferro que dava para a cidade, o qual se lhes abriu automaticamente; e, saindo, enveredaram por uma rua, e logo adiante o anjo se apartou dele.
['p3', 'verse', 'v11', 'label']	11
['p3', 'verse', 'v11', 'content']	Então, Pedro, caindo em si, disse: Agora, sei, verdadeiramente, que o Senhor enviou o seu anjo e me livrou da mão de Herodes e de toda a expectativa do povo judaico.
['p3', 'verse', 'v12', 'label']	12
['p3', 'verse', 'v12', 'content']	Considerando ele a sua situação, resolveu ir à casa de Maria, mãe de João, cognominado Marcos, onde muitas pessoas estavam congregadas e oravam.
['p3', 'verse', 'v13', 'label']	13
['p3', 'verse', 'v13', 'content']	Quando ele bateu ao postigo do portão, veio uma criada, chamada Rode, ver quem era;
['p3', 'verse', 'v14', 'label']	14
['p3', 'verse', 'v14', 'content']	reconhecendo a voz de Pedro, tão alegre ficou, que nem o fez entrar, mas voltou correndo para anunciar que Pedro estava junto do portão.
['p3', 'verse', 'v15', 'label']	15
['p3', 'verse', 'v15', 'content']	Eles lhe disseram: Estás louca. Ela, porém, persistia em afirmar que assim era. Então, disseram: É o seu anjo.
['p3', 'verse', 'v16', 'label']	16
['p3', 'verse', 'v16', 'content']	Entretanto, Pedro continuava batendo; então, eles abriram, viram-no e ficaram atônitos.
['p3', 'verse', 'v17', 'label']	17
['p3', 'verse', 'v17', 'content']	Ele, porém, fazendo-lhes sinal com a mão para que se calassem, contou-lhes como o Senhor o tirara da prisão e acrescentou: Anunciai isto a Tiago e aos irmãos. E, saindo, retirou-se para outro lugar.
['p4', 'verse', 'v17', 'content']	
['p4', 'verse', 'v18', 'label']	18
['p4', 'verse', 'v18', 'content']	Sendo já dia, houve não pouco alvoroço entre os soldados sobre o que teria acontecido a Pedro.
['p4', 'verse', 'v19', 'label']	19
['p4', 'verse', 'v19', 'content']	Herodes, tendo-o procurado e não o achando, submetendo as sentinelas a inquérito, ordenou que fossem justiçadas. E, descendo da Judeia para Cesareia, Herodes passou ali algum tempo.
['s', 'heading']	A morte de Herodes
['p5', 'verse', 'v19', 'content']	
['p5', 'verse', 'v20', 'label']	20
['p5', 'verse', 'v20', 'content']	Ora, havia séria divergência entre Herodes e os habitantes de Tiro e de Sidom; porém estes, de comum acordo, se apresentaram a ele e, depois de alcançar o favor de Blasto, camarista do rei, pediram reconciliação, porque a sua terra se abastecia do país do rei.
['p5', 'verse', 'v21', 'label']	21
['p5', 'verse', 'v21', 'content']	Em dia designado, Herodes, vestido de trajo real, assentado no trono, dirigiu-lhes a palavra;
['p5', 'verse', 'v22', 'label']	22
['p5', 'verse', 'v22', 'content']	e o povo clamava: É voz de um deus, e não de homem!
['p5', 'verse', 'v23', 'label']	23
['p5', 'verse', 'v23', 'content']	No mesmo instante, um anjo do Senhor o feriu, por ele não haver dado glória a Deus; e, comido de vermes, expirou.
['p6', 'verse', 'v23', 'content']	
['p6', 'verse', 'v24', 'label']	24
['p6', 'verse', 'v24', 'content']	Entretanto, a palavra do Senhor crescia e se multiplicava.
['p7', 'verse', 'v24', 'content']	
['p7', 'verse', 'v25', 'label']	25
['p7', 'verse', 'v25', 'content']	Barnabé e Saulo, cumprida a sua missão, voltaram de Jerusalém, levando também consigo a João, apelidado Marcos.
